NAMOBJ,jumlah_ws,luas_ws_km2,jumlah_das,luas_das_km2
Kota Bandung,1,166.59,1,166.59
Kota Banjar,1,131.01,1,131.01
Kota Banjarbaru,1,305.15,2,305.15
Kota Banjarmasin,1,98.37,1,98.37
Kota Batam,1,1034.43,778,1034.43
Kota Batu,2,194.17,3,194.17
Kota Bau Bau,1,294.14,36,294.14
Kota Bekasi,1,213.04,4,213.04
Kota Bengkulu,1,150.29,4,150.29
Kota Bima,1,207.75,13,207.75
Kota Binjai,2,93.77,3,93.77
Kota Bitung,1,329.72,135,329.72
Kota Blitar,1,33.2,1,33.2
Kota Bogor,1,111.37,4,111.37
Kota Bontang,1,160.81,39,160.81
Kota Bukittinggi,2,24.17,2,24.17
Kota Cilegon,1,162.51,26,162.51
Kota Cimahi,1,42.43,1,42.43
Kota Cirebon,1,39.44,3,39.44
Kota Denpasar,1,125.87,7,125.87
Kota Depok,1,199.91,6,199.91
Kota Dumai,2,2059.61,16,2059.61
Kota Gorontalo,1,70.93,14,70.93
Kota Gunungsitoli,1,208.68,6,208.68
Kota Jambi,2,169.89,2,169.89
Kota Jayapura,1,835.14,49,835.14
Kota Kediri,1,67.23,1,67.23
Kota Kendari,2,264.81,51,264.81
Kota Kotamobagu,1,108.89,2,108.89
Kota Kupang,1,159.33,13,159.33
Kota Langsa,1,224.22,10,224.22
Kota Lhokseumawe,1,132.96,5,132.96
Kota Lubuk Linggau,1,367.73,1,367.73
Kota Madiun,1,36.13,1,36.13
Kota Magelang,1,18.56,1,18.56
Kota Makassar,2,176.85,19,176.85
Kota Malang,1,111.08,1,111.08
Kota Manado,1,162.29,28,162.29
Kota Mataram,1,60.42,5,60.42
Kota Medan,1,279.29,4,279.29
Kota Metro,1,73.21,2,73.21
Kota Mojokerto,1,20.22,1,20.22
Kota Padang,3,694.34,45,694.34
Kota Padang Panjang,2,23.56,2,23.56
Kota Padang Sidempuan,1,159.3,1,159.3
Kota Pagar Alam,2,625.91,4,625.91
Kota Palangkaraya,2,2848.7,3,2848.7
Kota Palembang,1,352.52,1,352.52
Kota Palopo,3,273.23,12,273.23
Kota Palu,2,356.35,32,356.35
Kota Pangkal Pinang,1,104.54,3,104.54
Kota Parepare,1,89.67,15,89.67
Kota Pariaman,1,64.77,10,64.77
Kota Pasuruan,1,39.0,4,39.0
Kota Payakumbuh,1,74.55,1,74.55
