nama_das,nama_ws_induk,luas_das_km2
BONE-BONE 2,WS KEPULAUAN BANGGAI,1.43
APAL 2,WS KEPULAUAN BANGGAI,1.41
PULAU LOISO UTARA,WS KEPULAUAN BANGGAI,1.41
ULUNO 2,WS KEPULAUAN BANGGAI,1.38
LALONG LABOBO 2,WS KEPULAUAN BANGGAI,1.38
TANJUNG KANSIM 2,WS KEPULAUAN BANGGAI,1.34
NDINDIBUNG 4,WS KEPULAUAN BANGGAI,1.33
BONE-BONE 3,WS KEPULAUAN BANGGAI,1.31
KUALA,WS KEPULAUAN BANGGAI,1.29
PAISU BATANGO 2,WS KEPULAUAN BANGGAI,1.29
PULAU LABOBO PAUNA,WS KEPULAUAN BANGGAI,1.28
LIPULALONGO 2,WS KEPULAUAN BANGGAI,1.28
TONGO,WS KEPULAUAN BANGGAI,1.27
PULAU TOROPOT,WS KEPULAUAN BANGGAI,1.26
PULAU TUMBAK 1.1,WS KEPULAUAN BANGGAI,1.26
POPIDOLON,WS KEPULAUAN BANGGAI,1.26
PAISUMOSONI 2,WS KEPULAUAN BANGGAI,1.25
TOROPOT 4,WS KEPULAUAN BANGGAI,1.22
TANJUNG TABUNG TALA 2,WS KEPULAUAN BANGGAI,1.21
TANJUNG ULUNO,WS KEPULAUAN BANGGAI,1.2
BONE PUSO 2,WS KEPULAUAN BANGGAI,1.18
TALAS 2,WS KEPULAUAN BANGGAI,1.18
PULAU KAUKANAO 2,WS KEPULAUAN BANGGAI,1.17
MANDEL 3,WS KEPULAUAN BANGGAI,1.16
PULAU LABOBO 2,WS KEPULAUAN BANGGAI,1.13
BALALON 2,WS KEPULAUAN BANGGAI,1.12
ALASAN 2,WS KEPULAUAN BANGGAI,1.01
TANJUNG TOKULEON,WS KEPULAUAN BANGGAI,0.99
SABELAK 4,WS KEPULAUAN BANGGAI,0.98
BOKAN KEPULAUAN,WS KEPULAUAN BANGGAI,0.97
BOLOKUT 3,WS KEPULAUAN BANGGAI,0.96
PULAU MALLANGAN 2,WS KEPULAUAN BANGGAI,0.92
TELUK OMBULI 2,WS KEPULAUAN BANGGAI,0.9
PULAU TOULAN,WS KEPULAUAN BANGGAI,0.9
TOROPOT 2,WS KEPULAUAN BANGGAI,0.89
NDINDIBUNG 2,WS KEPULAUAN BANGGAI,0.86
PULAU DILEPAN,WS KEPULAUAN BANGGAI,0.86
PULAU TOULAN 2,WS KEPULAUAN BANGGAI,0.85
BOLOKUT 2,WS KEPULAUAN BANGGAI,0.84
PANDALUK 3,WS KEPULAUAN BANGGAI,0.79
PULAU SONIT 2,WS KEPULAUAN BANGGAI,0.77
PULAU LINSALON 1,WS KEPULAUAN BANGGAI,0.74
PALAPAT,WS KEPULAUAN BANGGAI,0.73
ULUNO 3,WS KEPULAUAN BANGGAI,0.72
PULAU LOKOI,WS KEPULAUAN BANGGAI,0.69
PULAU TANALAN,WS KEPULAUAN BANGGAI,0.56
PULAU BATU PANAPI,WS KEPULAUAN BANGGAI,0.56
PULAU TANALAN 2,WS KEPULAUAN BANGGAI,0.54
SAMBULANGAN PULAU 1,WS KEPULAUAN BANGGAI,0.53
PULAU SAMBALANGAN,WS KEPULAUAN BANGGAI,0.53
PULAU LOISO SELATAN,WS KEPULAUAN BANGGAI,0.53
PULAU TETAPEN,WS KEPULAUAN BANGGAI,0.51
PULAU MBOMBOLEH BESAR,WS KEPULAUAN BANGGAI,0.51
PULAU BANDANG BESAR,WS KEPULAUAN BANGGAI,0.51
TANJUNG TABUNG TALA,WS KEPULAUAN BANGGAI,0.49
PULAU ANGGUK,WS KEPULAUAN BANGGAI,0.48
PULAU TOULAN 3,WS KEPULAUAN BANGGAI,0.47
PULAU GANEMO,WS KEPULAUAN BANGGAI,0.46
PULAU BAKUM 1,WS KEPULAUAN BANGGAI,0.46
PULAU TUMBAK 3.6,WS KEPULAUAN BANGGAI,0.44
PULAU TAMAELOBOANG,WS KEPULAUAN BANGGAI,0.42
PULAU MONSOLONIAN,WS KEPULAUAN BANGGAI,0.41
PULAU TOULAN KECIL,WS KEPULAUAN BANGGAI,0.4
PULAU BUWAU,WS KEPULAUAN BANGGAI,0.4
PULAU LOKOTOY BESAR,WS KEPULAUAN BANGGAI,0.4
PULAU TOLLOBUNDU,WS KEPULAUAN BANGGAI,0.38
PULAU TOGONGPUTIL POISIK,WS KEPULAUAN BANGGAI,0.34
PULAU TOGONG KANSUIL,WS KEPULAUAN BANGGAI,0.31
PULAU BANGKURUNG,WS KEPULAUAN BANGGAI,0.29
PULAU MALLATAN,WS KEPULAUAN BANGGAI,0.28
PULAU MAMUDA BESAR,WS KEPULAUAN BANGGAI,0.28
PULAU MAMUDA BUKO SELATAN,WS KEPULAUAN BANGGAI,0.28
PULAU BONTOSI,WS KEPULAUAN BANGGAI,0.27
PULAU KRAMAT 1,WS KEPULAUAN BANGGAI,0.26
PULAU TOROPOT KECIL,WS KEPULAUAN BANGGAI,0.26
PULAU KOKUDANG,WS KEPULAUAN BANGGAI,0.25
PULAU SABOL,WS KEPULAUAN BANGGAI,0.24
PULAU LINSAWEH,WS KEPULAUAN BANGGAI,0.23
BOKAN KEPULAUAN 2,WS KEPULAUAN BANGGAI,0.22
PULAU SABALANDE,WS KEPULAUAN BANGGAI,0.22
PULAU TAMBATON,WS KEPULAUAN BANGGAI,0.21
PULAU PANTEH,WS KEPULAUAN BANGGAI,0.21
PULAU TUMBAK 2.1,WS KEPULAUAN BANGGAI,0.19
PULAU PATOLANG,WS KEPULAUAN BANGGAI,0.19
PULAU BUOLAN BABASAL,WS KEPULAUAN BANGGAI,0.19
PULAU TUMBAK 1.2,WS KEPULAUAN BANGGAI,0.19
PULAU  TOTUKO PAUNA,WS KEPULAUAN BANGGAI,0.18
PULAU  MASIBUK,WS KEPULAUAN BANGGAI,0.18
PULAU BONITON SELATAN 1,WS KEPULAUAN BANGGAI,0.18
PULAU  TOTUKO BABASAL,WS KEPULAUAN BANGGAI,0.17
PULAU MONGUMBASAN,WS KEPULAUAN BANGGAI,0.16
PULAU BITTINABOLONAN 1,WS KEPULAUAN BANGGAI,0.16
BOKAN KEPULAUAN 3,WS KEPULAUAN BANGGAI,0.15
PULAU BAKAKANG BESAR,WS KEPULAUAN BANGGAI,0.15
PULAU SONIT 3,WS KEPULAUAN BANGGAI,0.15
PULAU BAKAKANG KECIL,WS KEPULAUAN BANGGAI,0.14
PULAU MOTILMOMENG,WS KEPULAUAN BANGGAI,0.14
PULAU SABIAN,WS KEPULAUAN BANGGAI,0.13
PULAU BOULAN PAUNO,WS KEPULAUAN BANGGAI,0.13
PULAU TAKAL,WS KEPULAUAN BANGGAI,0.13
PULAU LOBITOLOI,WS KEPULAUAN BANGGAI,0.13
KEPULAUAN BAKUNO,WS KEPULAUAN BANGGAI,0.13
TOROPOT KEPULAUAN 6,WS KEPULAUAN BANGGAI,0.13
BOKAN KEPULAUAN 4,WS KEPULAUAN BANGGAI,0.12
PULAU PELELANG 1,WS KEPULAUAN BANGGAI,0.12
PULAU TADUNOBABASA,WS KEPULAUAN BANGGAI,0.12
PULAU LOISO 2,WS KEPULAUAN BANGGAI,0.11
PULAU NAL,WS KEPULAUAN BANGGAI,0.11
PULAU MAMUDA KECIL,WS KEPULAUAN BANGGAI,0.11
PULAU TUMBAK 3.7,WS KEPULAUAN BANGGAI,0.1
PULAU TOROPOT 2,WS KEPULAUAN BANGGAI,0.1
PULAU BONGKO KECIL,WS KEPULAUAN BANGGAI,0.1
PULAU LOKOTOY KECIL,WS KEPULAUAN BANGGAI,0.1
PULAU LOKOI 2,WS KEPULAUAN BANGGAI,0.1
PULAU NGGILAS,WS KEPULAUAN BANGGAI,0.1
PULAU MOLILIS BESAR,WS KEPULAUAN BANGGAI,0.1
PULAU BOLOKI,WS KEPULAUAN BANGGAI,0.1
PULAU TOADAH KONDONG,WS KEPULAUAN BANGGAI,0.1
PULAU MBOMBOLEH KECIL,WS KEPULAUAN BANGGAI,0.09
PULAU TOLOBUNDU,WS KEPULAUAN BANGGAI,0.09
PULAU TONGGOBUK KUNAIT,WS KEPULAUAN BANGGAI,0.09
PULAU MOLILIS 2,WS KEPULAUAN BANGGAI,0.08
PULAU GALULA,WS KEPULAUAN BANGGAI,0.08
PULAU TUMBAK 3.8,WS KEPULAUAN BANGGAI,0.07
PULAU TADUNO 1,WS KEPULAUAN BANGGAI,0.07
PULAU KOKUDANG 5,WS KEPULAUAN BANGGAI,0.07
PULAU TIKUS,WS KEPULAUAN BANGGAI,0.07
PULAU BATU BALOBOS,WS KEPULAUAN BANGGAI,0.07
PULAU SUPANGIT,WS KEPULAUAN BANGGAI,0.07
PULAU MBAMBO,WS KEPULAUAN BANGGAI,0.07
PULAU LESAMPUNG,WS KEPULAUAN BANGGAI,0.07
PULAU LOKOI 3,WS KEPULAUAN BANGGAI,0.07
PULAU KEPITA 4,WS KEPULAUAN BANGGAI,0.07
PULAU BABANG,WS KEPULAUAN BANGGAI,0.07
PULAU PASIR TAKAL 1,WS KEPULAUAN BANGGAI,0.06
SANGOLOYO 3,WS KEPULAUAN BANGGAI,0.06
PULAU BOBU DALAM,WS KEPULAUAN BANGGAI,0.06
PULAU MOLILIS 3,WS KEPULAUAN BANGGAI,0.06
PULAU TIBALAT,WS KEPULAUAN BANGGAI,0.06
TOROPOT KEPULAUAN 7,WS KEPULAUAN BANGGAI,0.06
PULAU MOLILIS 4,WS KEPULAUAN BANGGAI,0.06
PULAU TONDOKAN,WS KEPULAUAN BANGGAI,0.06
SAMBULANGAN PULAU 2,WS KEPULAUAN BANGGAI,0.06
KEPULAUAN BAKUNO 2,WS KEPULAUAN BANGGAI,0.06
TINANGKUNG 2,WS KEPULAUAN BANGGAI,0.06
PULAU TONGGOBUK,WS KEPULAUAN BANGGAI,0.06
PULAU NOULAS,WS KEPULAUAN BANGGAI,0.06
PULAU TOROPOT 4,WS KEPULAUAN BANGGAI,0.06
PULAU SIDU,WS KEPULAUAN BANGGAI,0.05
PULAU MOLILIS 5,WS KEPULAUAN BANGGAI,0.05
PULAU TOMISIK POUNDO,WS KEPULAUAN BANGGAI,0.05
BOKAN KEPULAUAN 5,WS KEPULAUAN BANGGAI,0.05
PULAU KAINDANG,WS KEPULAUAN BANGGAI,0.05
PULAU MAMUDA 2,WS KEPULAUAN BANGGAI,0.05
PULAU TONGAN,WS KEPULAUAN BANGGAI,0.05
PULAU TONGGOBUBU BABASAL,WS KEPULAUAN BANGGAI,0.05
PULAU LANGKAYUT,WS KEPULAUAN BANGGAI,0.05
PULAU KEPITA 6,WS KEPULAUAN BANGGAI,0.05
PULAU MOLILIS 6,WS KEPULAUAN BANGGAI,0.04
PULAU TAMBUN BESAR,WS KEPULAUAN BANGGAI,0.04
PULAU TINGKUBU,WS KEPULAUAN BANGGAI,0.04
PULAU TETAPEN 1,WS KEPULAUAN BANGGAI,0.04
BOKAN KEPULAUAN 6,WS KEPULAUAN BANGGAI,0.04
PULAU PANGAIS,WS KEPULAUAN BANGGAI,0.04
PULAU KAUMOTUL,WS KEPULAUAN BANGGAI,0.04
PULAU PAUNO,WS KEPULAUAN BANGGAI,0.04
PULAU TANALAN KECIL,WS KEPULAUAN BANGGAI,0.04
PULAU BABANG 3,WS KEPULAUAN BANGGAI,0.04
PULAU TOKOLUANPAUNO,WS KEPULAUAN BANGGAI,0.04
PULAU SONGOLUNGUN,WS KEPULAUAN BANGGAI,0.04
BOKAN KEPULAUAN 7,WS KEPULAUAN BANGGAI,0.03
PULAU BATU PANDAK,WS KEPULAUAN BANGGAI,0.03
PULAU LUMBANO,WS KEPULAUAN BANGGAI,0.03
PULAU BATU MALI NG,WS KEPULAUAN BANGGAI,0.03
PULAU BANDANG KECIL,WS KEPULAUAN BANGGAI,0.03
PULAU ULUNO,WS KEPULAUAN BANGGAI,0.03
PULAU PAUNO 2,WS KEPULAUAN BANGGAI,0.03
TANJUNG KAPAL 2,WS KEPULAUAN BANGGAI,0.03
PULAU TADUNO 2,WS KEPULAUAN BANGGAI,0.03
PULAU BONITON,WS KEPULAUAN BANGGAI,0.03
KEPULAUAN BAKUNO 3,WS KEPULAUAN BANGGAI,0.03
PULAU ULUNO 2,WS KEPULAUAN BANGGAI,0.03
PULAU TANALAN 3,WS KEPULAUAN BANGGAI,0.03
PULAU TOROPOT 3,WS KEPULAUAN BANGGAI,0.03
PULAU TAMBELAN,WS KEPULAUAN BANGGAI,0.03
PULAU TALAM BABASAL,WS KEPULAUAN BANGGAI,0.03
MONTOP 3,WS KEPULAUAN BANGGAI,0.03
PULAU BETABU,WS KEPULAUAN BANGGAI,0.03
PULAU KAOPAISU,WS KEPULAUAN BANGGAI,0.03
PULAU TOGONGDIOKENDEK UTARA,WS KEPULAUAN BANGGAI,0.03
PULAU PASIR TENGAH 1,WS KEPULAUAN BANGGAI,0.03
PULAU PAJAMBANA,WS KEPULAUAN BANGGAI,0.03
PULAU DOLUNGAN,WS KEPULAUAN BANGGAI,0.03
PULAU SANDENG NAULU,WS KEPULAUAN BANGGAI,0.03
PULAU KALO,WS KEPULAUAN BANGGAI,0.03
PULAU TOADA KONDONG,WS KEPULAUAN BANGGAI,0.03
BOKAN KEPULAUAN 8,WS KEPULAUAN BANGGAI,0.03
PULAU TIKALA,WS KEPULAUAN BANGGAI,0.03
PULAU MOLILIS 7,WS KEPULAUAN BANGGAI,0.03
PULAU TUMBAK 3.9,WS KEPULAUAN BANGGAI,0.03
TANJUNG LIMA 2,WS KEPULAUAN BANGGAI,0.03
PULAU MBOKILIBESAR,WS KEPULAUAN BANGGAI,0.03
PULAU KEMBONGAN 2,WS KEPULAUAN BANGGAI,0.03
PULAU BANGGAU SATU,WS KEPULAUAN BANGGAI,0.03
PULAU MOLILIS 8,WS KEPULAUAN BANGGAI,0.03
PULAU SOSOAT 1,WS KEPULAUAN BANGGAI,0.02
KEPULAUAN BAKUNO 5,WS KEPULAUAN BANGGAI,0.02
PULAU TINAKIN BESAR,WS KEPULAUAN BANGGAI,0.02
PULAU TOGING PONGA,WS KEPULAUAN BANGGAI,0.02
KEPULAUAN BAKUNO 7,WS KEPULAUAN BANGGAI,0.02
PULAU TOKUBE,WS KEPULAUAN BANGGAI,0.02
PULAU PANIMBAWANG,WS KEPULAUAN BANGGAI,0.02
PULAU SANDENG,WS KEPULAUAN BANGGAI,0.02
LUMBI LUMBIA 4,WS KEPULAUAN BANGGAI,0.02
PULAU KEMBONGAN 3,WS KEPULAUAN BANGGAI,0.02
PULAU BATU MOMUTUNG,WS KEPULAUAN BANGGAI,0.02
PULAU MOLILIS 9,WS KEPULAUAN BANGGAI,0.02
PULAU MATO SELATAN,WS KEPULAUAN BANGGAI,0.02
PULAU MINANGA,WS KEPULAUAN BANGGAI,0.02
PULAU PASIR TAKAL 2,WS KEPULAUAN BANGGAI,0.02
TOROPOT KEPULAUAN 8,WS KEPULAUAN BANGGAI,0.02
PULAU MAMASIGI,WS KEPULAUAN BANGGAI,0.02
PULAU BUNGINMANGASA,WS KEPULAUAN BANGGAI,0.02
PULAU TIMPAUS,WS KEPULAUAN BANGGAI,0.02
PULAU TUDAK 1,WS KEPULAUAN BANGGAI,0.02
PULAU LINSALON 2,WS KEPULAUAN BANGGAI,0.02
PULAU AMPAS,WS KEPULAUAN BANGGAI,0.02
PULAU SOSOAT 10,WS KEPULAUAN BANGGAI,0.02
KEPULAUAN BAKUNO 8,WS KEPULAUAN BANGGAI,0.02
TOROPOT KEPULAUAN 9,WS KEPULAUAN BANGGAI,0.02
TOROPOT KEPULAUAN 10,WS KEPULAUAN BANGGAI,0.02
PULAU TOGONGBOYOKO,WS KEPULAUAN BANGGAI,0.02
PULAU BANGKO KECIL,WS KEPULAUAN BANGGAI,0.02
BONE-BONE 9,WS KEPULAUAN BANGGAI,0.02
PULAU MOLILIS 10,WS KEPULAUAN BANGGAI,0.02
PULAU MOLILIS 11,WS KEPULAUAN BANGGAI,0.02
PULAU BANGKO KECIL 2,WS KEPULAUAN BANGGAI,0.02
PULAU BONTOSI 2,WS KEPULAUAN BANGGAI,0.02
PULAU BANGAI DUA,WS KEPULAUAN BANGGAI,0.02
PULAU TONGKE,WS KEPULAUAN BANGGAI,0.02
PULAU MATO,WS KEPULAUAN BANGGAI,0.02
PULAU LOKOTODY KECIL BARAT,WS KEPULAUAN BANGGAI,0.02
BUKO 2,WS KEPULAUAN BANGGAI,0.02
PULAU PONTIANA,WS KEPULAUAN BANGGAI,0.02
BOKAN KEPULAUAN 9,WS KEPULAUAN BANGGAI,0.02
PULAU KALIABUKOTI,WS KEPULAUAN BANGGAI,0.02
PULAU POPOWABATU 2,WS KEPULAUAN BANGGAI,0.02
PULAU TUMBAK 3.10,WS KEPULAUAN BANGGAI,0.02
PULAU KELAKELA 2,WS KEPULAUAN BANGGAI,0.02
PULAU KEPITA 3,WS KEPULAUAN BANGGAI,0.02
PULAU TADUNOTATANDAK,WS KEPULAUAN BANGGAI,0.02
PULAU BANGKO KECIL 3,WS KEPULAUAN BANGGAI,0.02
PULAU BONITON SELATAN 2,WS KEPULAUAN BANGGAI,0.02
TOROPOT KEPULAUAN 11,WS KEPULAUAN BANGGAI,0.02
PULAU BANGKO KECIL 4,WS KEPULAUAN BANGGAI,0.02
PULAU MUTIARA,WS KEPULAUAN BANGGAI,0.02
BOKAN KEPULAUAN 10,WS KEPULAUAN BANGGAI,0.02
KOMBA-KOMBA PULAU,WS KEPULAUAN BANGGAI,0.02
PULAU BOTUMBAKBABASAL,WS KEPULAUAN BANGGAI,0.02
BOKAN KEPULAUAN 11,WS KEPULAUAN BANGGAI,0.02
PULAU TUMBAK 3.11,WS KEPULAUAN BANGGAI,0.02
PULAU AMPAS TIMUR 1,WS KEPULAUAN BANGGAI,0.01
PULAU TUMBAK 3.12,WS KEPULAUAN BANGGAI,0.01
PULAU MATO KECIL UTARA,WS KEPULAUAN BANGGAI,0.01
MATANGA PULAU,WS KEPULAUAN BANGGAI,0.01
BOKAN KEPULAUAN 12,WS KEPULAUAN BANGGAI,0.01
PULAU TADUNOPAUNA,WS KEPULAUAN BANGGAI,0.01
PULAU KAUKANAO KECIL,WS KEPULAUAN BANGGAI,0.01
PULAU KOKUNI,WS KEPULAUAN BANGGAI,0.01
PULAU MOLILIS 12,WS KEPULAUAN BANGGAI,0.01
TANJUNG LIMA 3,WS KEPULAUAN BANGGAI,0.01
PULAU MOLILIS 13,WS KEPULAUAN BANGGAI,0.01
PULAU APAL 1,WS KEPULAUAN BANGGAI,0.01
LUK PANENTENG 2,WS KEPULAUAN BANGGAI,0.01
PULAU BITINABOLONAN 2,WS KEPULAUAN BANGGAI,0.01
PULAU TANGA-TANGA,WS KEPULAUAN BANGGAI,0.01
PULAU BALAYON TINANGKUNG,WS KEPULAUAN BANGGAI,0.01
PULAU MOLILIS 14,WS KEPULAUAN BANGGAI,0.01
PULAU SOSOAT 3,WS KEPULAUAN BANGGAI,0.01
PULAU LONOPAUNO,WS KEPULAUAN BANGGAI,0.01
PULAU BOTUMBAKPAUNO,WS KEPULAUAN BANGGAI,0.01
PULAU SONDANG,WS KEPULAUAN BANGGAI,0.01
PULAU MATO UTARA DALAM,WS KEPULAUAN BANGGAI,0.01
PULAU TUMBAK 3.13,WS KEPULAUAN BANGGAI,0.01
PULAU KELAKELA 1,WS KEPULAUAN BANGGAI,0.01
PULAU TOGONGSAWAKI,WS KEPULAUAN BANGGAI,0.01
TINANGKUNG 3,WS KEPULAUAN BANGGAI,0.01
PULAU BANGKO KECIL 5,WS KEPULAUAN BANGGAI,0.01
PULAU PANIKI,WS KEPULAUAN BANGGAI,0.01
PULAU LONOBASAL,WS KEPULAUAN BANGGAI,0.01
MATANGA PULAU 2,WS KEPULAUAN BANGGAI,0.01
PULAU PELELANG 2,WS KEPULAUAN BANGGAI,0.01
PULAU MOLILIS 15,WS KEPULAUAN BANGGAI,0.01
PULAU KOPAISU 2,WS KEPULAUAN BANGGAI,0.01
PULAU TUMBAK 3.14,WS KEPULAUAN BANGGAI,0.01
PULAU BANGAI TIGA,WS KEPULAUAN BANGGAI,0.01
PULAU BOKAN KECIL,WS KEPULAUAN BANGGAI,0.01
PULAU MOLILIS 16,WS KEPULAUAN BANGGAI,0.01
PULAU TALAS 1,WS KEPULAUAN BANGGAI,0.01
PULAU SOSOAT,WS KEPULAUAN BANGGAI,0.01
PULAU MOLILIS OLUNO,WS KEPULAUAN BANGGAI,0.01
TOROPOT KEPULAUAN 12,WS KEPULAUAN BANGGAI,0.01
PULAU KEMBONGAN 4,WS KEPULAUAN BANGGAI,0.01
PULAU TADUNOTANGA,WS KEPULAUAN BANGGAI,0.01
PULAU KAUKES,WS KEPULAUAN BANGGAI,0.01
TOROPOT KEPULAUAN 13,WS KEPULAUAN BANGGAI,0.01
PULAU SAMBUAN,WS KEPULAUAN BANGGAI,0.01
PULAU BANGKO KECIL 6,WS KEPULAUAN BANGGAI,0.01
PULAU  BASAK,WS KEPULAUAN BANGGAI,0.01
PULAU BULITO 4,WS KEPULAUAN BANGGAI,0.01
PULAU P. TOGONGLANTIONG,WS KEPULAUAN BANGGAI,0.01
BOKAN KEPULAUAN 13,WS KEPULAUAN BANGGAI,0.01
PULAU LOKOI 4,WS KEPULAUAN BANGGAI,0.01
PULAU MOLILIS 17,WS KEPULAUAN BANGGAI,0.01
PULAU MOLILIS 18,WS KEPULAUAN BANGGAI,0.01
PULAU SANOP,WS KEPULAUAN BANGGAI,0.01
PULAU MOLILIS 19,WS KEPULAUAN BANGGAI,0.01
PULAU SAMAMBULIT,WS KEPULAUAN BANGGAI,0.01
PULAU PAJAMBANA 3,WS KEPULAUAN BANGGAI,0.01
PULAU KRAMAT 2,WS KEPULAUAN BANGGAI,0.01
PULAU SAYOR BESAR,WS KEPULAUAN BANGGAI,0.01
PULAU TINAKIN LAUT DALAM,WS KEPULAUAN BANGGAI,0.01
PULAU SOWONG,WS KEPULAUAN BANGGAI,0.01
PULAU SOLONGAN,WS KEPULAUAN BANGGAI,0.01
PULAU NGGULUHANBATU,WS KEPULAUAN BANGGAI,0.01
PULAU TAGONGLANTANG,WS KEPULAUAN BANGGAI,0.01
PULAU TOTONGON,WS KEPULAUAN BANGGAI,0.01
PULAU MASANDANG,WS KEPULAUAN BANGGAI,0.01
PULAU KEPITA 2,WS KEPULAUAN BANGGAI,0.01
PULAU TAMBUN BATAR 2,WS KEPULAUAN BANGGAI,0.01
PULAU KEMBONGAN 5,WS KEPULAUAN BANGGAI,0.01
BASAPA KECIL,WS KEPULAUAN BANGGAI,0.01
PULAU MOLILIS 20,WS KEPULAUAN BANGGAI,0.01
PULAU KEPITA 7,WS KEPULAUAN BANGGAI,0.01
PULAU MOLILIS 21,WS KEPULAUAN BANGGAI,0.01
PULAU TOGONGBOYOKO 2,WS KEPULAUAN BANGGAI,0.01
PULAU TEMBELAK,WS KEPULAUAN BANGGAI,0.01
KEPULAUAN BAKUNO 6,WS KEPULAUAN BANGGAI,0.01
PULAU MOLILIS 22,WS KEPULAUAN BANGGAI,0.01
TOROPOT KEPULAUAN 4,WS KEPULAUAN BANGGAI,0.01
PULAU  BUNGINMANGASA 2,WS KEPULAUAN BANGGAI,0.01
PULAU BOBU LUAR,WS KEPULAUAN BANGGAI,0.01
BOKAN KEPULAUAN 14,WS KEPULAUAN BANGGAI,0.01
PULAU TUMBAK 3.15,WS KEPULAUAN BANGGAI,0.01
BOKAN KEPULAUAN 15,WS KEPULAUAN BANGGAI,0.01
PULAU PELUNGUT,WS KEPULAUAN BANGGAI,0.01
PULAU BULITO 5,WS KEPULAUAN BANGGAI,0.01
KEPULAUAN BAKUNO 13,WS KEPULAUAN BANGGAI,0.01
PULAU MOLILIS 23,WS KEPULAUAN BANGGAI,0.01
PULAU TUMBAK 3.16,WS KEPULAUAN BANGGAI,0.01
PULAU TOGONGBOYOKO 1,WS KEPULAUAN BANGGAI,0.01
PULAU TOADO,WS KEPULAUAN BANGGAI,0.01
PULAU PALU-PALU,WS KEPULAUAN BANGGAI,0.01
PULAU BATU BULUNG,WS KEPULAUAN BANGGAI,0.01
TANJUNG KAPAL 3,WS KEPULAUAN BANGGAI,0.01
PULAU BATU PIING,WS KEPULAUAN BANGGAI,0.01
PULAU TALIKAN,WS KEPULAUAN BANGGAI,0.01
PULAU PAJAMBANA 2,WS KEPULAUAN BANGGAI,0.01
TOROPOT KEPULAUAN 14,WS KEPULAUAN BANGGAI,0.01
PULAU MOLILIS 24,WS KEPULAUAN BANGGAI,0.01
PULAU MATO UTARA TENGAH,WS KEPULAUAN BANGGAI,0.01
PULAU SOSOAT 4,WS KEPULAUAN BANGGAI,0.01
BOKAN KEPULAUAN 16,WS KEPULAUAN BANGGAI,0.01
PULAU AMPAS TIMUR 3,WS KEPULAUAN BANGGAI,0.01
PULAU BANGKO KECIL 7,WS KEPULAUAN BANGGAI,0.01
PULAU BONTOSI 3,WS KEPULAUAN BANGGAI,0.01
BOKAN KEPULAUAN 17,WS KEPULAUAN BANGGAI,0.01
TOROPOT KEPULAUAN 15,WS KEPULAUAN BANGGAI,0.01
PULAU BOTUKI,WS KEPULAUAN BANGGAI,0.01
KEPULAUAN BAKUNO 4,WS KEPULAUAN BANGGAI,0.01
PULAU LOMBONGAN,WS KEPULAUAN BANGGAI,0.01
PULAU LOKOI 5,WS KEPULAUAN BANGGAI,0.01
BOKAN KEPULAUAN 18,WS KEPULAUAN BANGGAI,0.01
PULAU PASIR TENGAH 2,WS KEPULAUAN BANGGAI,0.01
PULAU MOLILIS 25,WS KEPULAUAN BANGGAI,0.01
PULAU SOLONGAN 2,WS KEPULAUAN BANGGAI,0.01
PULAU TIBARAT,WS KEPULAUAN BANGGAI,0.01
PULAU TUDAK MATIMBULAN,WS KEPULAUAN BANGGAI,0.01
PULAU BONGUNAN,WS KEPULAUAN BANGGAI,0.01
PULAU SITANG,WS KEPULAUAN BANGGAI,0.01
SAMBULANGAN PULAU 3,WS KEPULAUAN BANGGAI,0.01
PULAU BANGKO KECIL 8,WS KEPULAUAN BANGGAI,0.01
PULAU BALAYON SATU,WS KEPULAUAN BANGGAI,0.01
BONE-BONE 10,WS KEPULAUAN BANGGAI,0.01
PULAU KELAKELA 3,WS KEPULAUAN BANGGAI,0.01
PULAU BOBETENG,WS KEPULAUAN BANGGAI,0.01
PULAU KEPITA 1,WS KEPULAUAN BANGGAI,0.01
PULAU MATO KECIL SELATAN,WS KEPULAUAN BANGGAI,0.01
PULAU TALAS 2,WS KEPULAUAN BANGGAI,0.01
PULAU BAKUM 2,WS KEPULAUAN BANGGAI,0.01
KEPULAUAN BAKUNO 9,WS KEPULAUAN BANGGAI,0.01
TOROPOT KEPULAUAN 16,WS KEPULAUAN BANGGAI,0.01
PULAU MOLILIS 26,WS KEPULAUAN BANGGAI,0.01
PULAU TUDAK BULUSAN,WS KEPULAUAN BANGGAI,0.01
PULAU MANDAYAMO,WS KEPULAUAN BANGGAI,0.01
PULAU LOKOI 6,WS KEPULAUAN BANGGAI,0.01
PULAU TUMBAK 3.17,WS KEPULAUAN BANGGAI,0.01
PULAU TIU BOLINDANG,WS KEPULAUAN BANGGAI,0.01
TANJUNG LOBANG 2,WS KEPULAUAN BANGGAI,0.01
BOKAN KEPULAUAN 19,WS KEPULAUAN BANGGAI,0.01
MONTOP 4,WS KEPULAUAN BANGGAI,0.01
PULAU ULUNO 3,WS KEPULAUAN BANGGAI,0.01
TOROPOT KEPULAUAN 17,WS KEPULAUAN BANGGAI,0.01
TINANGKUNG 4,WS KEPULAUAN BANGGAI,0.01
PULAU KINAIT,WS KEPULAUAN BANGGAI,0.01
PULAU PASIR TAKAL 3,WS KEPULAUAN BANGGAI,0.01
PULAU TUMBAK 3.18,WS KEPULAUAN BANGGAI,0.01
