nama_das,nama_ws_induk,luas_das_km2
ALUE LHOK TRIENG,WS ACEH-MEUREUDU,0.56
PANTAI BIREK,WS ACEH-MEUREUDU,0.57
BEURAWANG,WS ACEH-MEUREUDU,0.53
TEUPUN IBOIH,WS ACEH-MEUREUDU,0.53
LAMREH,WS ACEH-MEUREUDU,0.53
PAYA,WS ACEH-MEUREUDU,0.52
UJUNG DEMIET 2,WS ACEH-MEUREUDU,0.52
EMPEE,WS ACEH-MEUREUDU,0.55
LAMTEUNG,WS ACEH-MEUREUDU,0.52
LHOK ME 2,WS ACEH-MEUREUDU,0.52
KRUENG TEUNGKU 6,WS ACEH-MEUREUDU,0.52
UJUNG MUDURU,WS ACEH-MEUREUDU,0.51
LAYEUN DUA,WS ACEH-MEUREUDU,0.5
KEUREUSE,WS ACEH-MEUREUDU,0.5
IBOIH 3,WS ACEH-MEUREUDU,0.5
PANTE JAYA,WS ACEH-MEUREUDU,0.49
GAPANG,WS ACEH-MEUREUDU,0.49
COT KLAH,WS ACEH-MEUREUDU,0.48
UJUNG GEUNDRET,WS ACEH-MEUREUDU,0.48
ALUE SIMANEH,WS ACEH-MEUREUDU,0.47
ALUE PANTON KULU,WS ACEH-MEUREUDU,0.47
ALUE ALAU 2,WS ACEH-MEUREUDU,0.46
KRIEUE,WS ACEH-MEUREUDU,0.46
MUARA TIGA 2,WS ACEH-MEUREUDU,0.45
UJUNG KREUH,WS ACEH-MEUREUDU,0.44
KRUENG CEUNONOT 2,WS ACEH-MEUREUDU,0.43
UJUNG BAK U 2,WS ACEH-MEUREUDU,0.41
KUTARENTANG,WS ACEH-MEUREUDU,0.44
UJUNG GUA,WS ACEH-MEUREUDU,0.38
PULAU RONDO,WS ACEH-MEUREUDU,0.42
UJONG AYON,WS ACEH-MEUREUDU,0.42
PANTE JAYA 2,WS ACEH-MEUREUDU,0.41
GLE MAYANG,WS ACEH-MEUREUDU,0.44
TEUNOM KECIL,WS ACEH-MEUREUDU,0.39
PANTE JAYA 3,WS ACEH-MEUREUDU,0.38
SEUKUNDO,WS ACEH-MEUREUDU,0.36
UJUNG PUTROE,WS ACEH-MEUREUDU,0.36
PULAU RUBIAH,WS ACEH-MEUREUDU,0.34
UJUNG TRIENG,WS ACEH-MEUREUDU,0.37
UJUNG REHAB,WS ACEH-MEUREUDU,0.37
LHOK REUDEUP,WS ACEH-MEUREUDU,0.38
UJONG PANCU,WS ACEH-MEUREUDU,0.36
GUA SARANG 3,WS ACEH-MEUREUDU,0.35
