ws_name,layer_name,ext,filename,drive_file_id
WS_BENGAWAN_SOLO,RURHLDAS,shp,RURHLDAS_WS_BENGAWAN_SOLO.shp,1utBLBJ4d2n737UvuGj0urY-KRI7sQcvn
WS_BENGAWAN_SOLO,RURHLDAS,cpg,RURHLDAS_WS_BENGAWAN_SOLO.cpg,1cor-pTS9GqqWK3R_-LPM40D24Iv7KLxb
WS_BENGAWAN_SOLO,RURHLDAS,prj,RURHLDAS_WS_BENGAWAN_SOLO.prj,1AM8scwniMy9nmROf6pE1N6qYcRya6v__
WS_BENGAWAN_SOLO,TutupanLahan,shp,TutupanLahan_WS_BENGAWAN_SOLO.shp,1Gqg3EUfMWOPBeiCsfAJGe_3mVuWW4k6e
WS_BENGAWAN_SOLO,TutupanLahan,dbf,TutupanLahan_WS_BENGAWAN_SOLO.dbf,1YCmUVqrOuqu9jgzEf-5NKMngJQf9tJRM
WS_BENGAWAN_SOLO,TutupanLahan,shx,TutupanLahan_WS_BENGAWAN_SOLO.shx,1jwarICrUc_nW_j6cpLiA0BZndZn62hF0
WS_BENGAWAN_SOLO,TutupanLahan,cpg,TutupanLahan_WS_BENGAWAN_SOLO.cpg,1oddx81x-6t4y1whFc7FuNZc2Q3jYC1E2
WS_BENGAWAN_SOLO,TutupanLahan,prj,TutupanLahan_WS_BENGAWAN_SOLO.prj,1XsRxmy3FBenW70OFKPNIxHhlNceHcpNQ
WS_BENGAWAN_SOLO,KawasanHutan,cpg,KawasanHutan_WS_BENGAWAN_SOLO.cpg,10wgOj4v5G7hIrr7I8md0X65lobpxur2M
WS_BENGAWAN_SOLO,KawasanHutan,dbf,KawasanHutan_WS_BENGAWAN_SOLO.dbf,190hHruAQI6H8e4ElE5gwEdIiLvN7AAJ4
WS_BENGAWAN_SOLO,KawasanHutan,prj,KawasanHutan_WS_BENGAWAN_SOLO.prj,1XgRMZ7OjbvFaeiHmxz1zxdowTkXy8d11
WS_BENGAWAN_SOLO,KawasanHutan,shp,KawasanHutan_WS_BENGAWAN_SOLO.shp,1RuPpfdvUvQLFjyHty4COrcKqjrESG4nt
WS_BENGAWAN_SOLO,KawasanHutan,shx,KawasanHutan_WS_BENGAWAN_SOLO.shx,1t6o_VG3eaL9_TU4LeIj-h7O0FN8cU_0X
WS_BENGAWAN_SOLO,JenisTanah,cpg,JenisTanah_WS_BENGAWAN_SOLO.cpg,1B8TqPZuurZD2UFHuZH4ZrrfSX-aVo20-
WS_BENGAWAN_SOLO,JenisTanah,shx,JenisTanah_WS_BENGAWAN_SOLO.shx,1hyCEfl5Z6eJWbFk_b7wDChnV2f_ryZgP
WS_BENGAWAN_SOLO,JenisTanah,prj,JenisTanah_WS_BENGAWAN_SOLO.prj,1bXMyWw0tZN-aE4snzqY60XXy5cGjrb6q
WS_BENGAWAN_SOLO,JenisTanah,shp,JenisTanah_WS_BENGAWAN_SOLO.shp,1bOtgqnDd2CGlh12NdyIanAdyYoDcXOsx
WS_BENGAWAN_SOLO,JenisTanah,dbf,JenisTanah_WS_BENGAWAN_SOLO.dbf,12oTfB_9B-2yiryWcY38bhiA8AyH77PB2
WS_BENGAWAN_SOLO,Erosi,dbf,Erosi_WS_BENGAWAN_SOLO.dbf,1RI7DmQIqhZQQ8HihX4wap2bBQ1hm_JXx
WS_BENGAWAN_SOLO,Erosi,shp,Erosi_WS_BENGAWAN_SOLO.shp,1WweTFHpFK5JXCLiarOIi2xn8kMZmPxii
WS_BENGAWAN_SOLO,Erosi,shx,Erosi_WS_BENGAWAN_SOLO.shx,1yVpd2hsXj7p7Viqd2m0eyLWXtafv69aQ
WS_BENGAWAN_SOLO,Erosi,cpg,Erosi_WS_BENGAWAN_SOLO.cpg,1tgcJBQ-1fGSttSbPrn7wvvia52QxMOgn
WS_BENGAWAN_SOLO,Erosi,prj,Erosi_WS_BENGAWAN_SOLO.prj,1XRc3b_5fZyxIVn2b-5fqWwhdUkUoxFn5
WS_BENAIN,RURHLDAS,shp,RURHLDAS_WS_BENAIN.shp,1BnKIpOWYl-KLA4HzEGtW6ofbpKFsm0Y2
WS_BENAIN,RURHLDAS,prj,RURHLDAS_WS_BENAIN.prj,1toDHuRnMLBvswuvziFNuEVeacQ2O-nRf
