nama_ws,kode_ws,status_ws,luas_ws_km2,jumlah_das
WS SUMBAWA,03.03.A3,STRATEGIS NASIONAL,15105.13,819
WS TAMIANG-LANGSA,01.06.B,LINTAS KABUPATEN/KOTA,6289.85,19
WS TERAMANG-MUAR,01.34.A2,LINTAS PROVINSI,5298.24,16
WS TEUNOM-LAMBEUSO,01.02.B,LINTAS KABUPATEN/KOTA,5204.69,84
WS TOARI-LASUSUA,05.18.A2,LINTAS PROVINSI,5732.37,351
WS TONDANO-SANGIHE-TALAUD-MIANGAS,05.01.A3,STRATEGIS NASIONAL,4645.17,728
WS WAMPU-BESITANG,01.09.B,LINTAS KABUPATEN/KOTA,7538.29,20
WS WAPOGA-MIMIKA,07.03.A2,LINTAS PROVINSI,40067.21,806
WS WELANG-PEKALEN,02.21.B,LINTAS KABUPATEN/KOTA,3059.87,39
WS WISO-GELIS,02.15.C,DALAM SATU KABUPATEN/KOTA,656.84,23
WS WOYLA-BATEE-SIMEULUE,01.04.A3,STRATEGIS NASIONAL,13534.63,287
